[2019-05-27 09:55:49,201] Starting training with params:
[2019-05-27 10:10:41,828] Train metrics: loss: 0.91570 | metrics.Dice: -0.23186 | grad: 0.65638
[2019-05-27 10:10:41,828] Valid metrics: loss: 0.89914 | metrics.Dice: -0.24547

[2019-05-27 10:10:41,863] Epoch 7 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:12:43,455] Train metrics: loss: 0.90743 | metrics.Dice: -0.24014 | grad: 0.68406
[2019-05-27 10:12:43,455] Valid metrics: loss: 0.92742 | metrics.Dice: -0.22986

[2019-05-27 10:12:43,455] Epoch 8 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:14:44,210] Train metrics: loss: 0.88865 | metrics.Dice: -0.25768 | grad: 0.69873
[2019-05-27 10:14:44,210] Valid metrics: loss: 0.89390 | metrics.Dice: -0.25360

[2019-05-27 10:14:44,248] Epoch 9 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:16:54,009] Train metrics: loss: 0.89031 | metrics.Dice: -0.25462 | grad: 0.58914
[2019-05-27 10:16:54,009] Valid metrics: loss: 0.88034 | metrics.Dice: -0.26203

[2019-05-27 10:16:54,044] Epoch 10 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:18:58,419] Train metrics: loss: 0.88990 | metrics.Dice: -0.25680 | grad: 0.61436
[2019-05-27 10:18:58,420] Valid metrics: loss: 0.88451 | metrics.Dice: -0.26261

[2019-05-27 10:18:58,459] Epoch 11 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:21:00,375] Train metrics: loss: 0.87699 | metrics.Dice: -0.26854 | grad: 0.59455
[2019-05-27 10:21:00,375] Valid metrics: loss: 0.88091 | metrics.Dice: -0.26070

[2019-05-27 10:21:00,375] Epoch 12 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:23:00,176] Train metrics: loss: 0.87129 | metrics.Dice: -0.27198 | grad: 0.53258
[2019-05-27 10:23:00,176] Valid metrics: loss: 0.87674 | metrics.Dice: -0.26552

[2019-05-27 10:23:00,214] Epoch 13 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:25:00,512] Train metrics: loss: 0.86986 | metrics.Dice: -0.27459 | grad: 0.56828
[2019-05-27 10:25:00,512] Valid metrics: loss: 0.88090 | metrics.Dice: -0.26598

[2019-05-27 10:25:00,556] Epoch 14 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:27:07,759] Train metrics: loss: 0.86461 | metrics.Dice: -0.27888 | grad: 0.57723
[2019-05-27 10:27:07,759] Valid metrics: loss: 0.86038 | metrics.Dice: -0.27877

[2019-05-27 10:27:07,805] Epoch 15 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:29:14,444] Train metrics: loss: 0.86688 | metrics.Dice: -0.27871 | grad: 0.55979
[2019-05-27 10:29:14,444] Valid metrics: loss: 0.88310 | metrics.Dice: -0.26247

[2019-05-27 10:29:14,444] Epoch 16 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:31:16,788] Train metrics: loss: 0.86607 | metrics.Dice: -0.27957 | grad: 0.54426
[2019-05-27 10:31:16,788] Valid metrics: loss: 0.87750 | metrics.Dice: -0.26792

[2019-05-27 10:31:16,788] Epoch 17 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:33:19,254] Train metrics: loss: 0.86282 | metrics.Dice: -0.28086 | grad: 0.53349
[2019-05-27 10:33:19,254] Valid metrics: loss: 0.85978 | metrics.Dice: -0.28057

[2019-05-27 10:33:19,286] Epoch 18 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:35:22,969] Train metrics: loss: 0.85728 | metrics.Dice: -0.28826 | grad: 0.55858
[2019-05-27 10:35:22,969] Valid metrics: loss: 0.86628 | metrics.Dice: -0.26843

[2019-05-27 10:35:22,969] Epoch 19 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:37:32,758] Train metrics: loss: 0.85153 | metrics.Dice: -0.29057 | grad: 0.51868
[2019-05-27 10:37:32,758] Valid metrics: loss: 0.83188 | metrics.Dice: -0.29821

[2019-05-27 10:37:32,792] Epoch 20 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:39:34,655] Train metrics: loss: 0.84585 | metrics.Dice: -0.29698 | grad: 0.54265
[2019-05-27 10:39:34,655] Valid metrics: loss: 0.85951 | metrics.Dice: -0.28074

[2019-05-27 10:39:34,655] Epoch 21 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:41:40,075] Train metrics: loss: 0.83824 | metrics.Dice: -0.30360 | grad: 0.57473
[2019-05-27 10:41:40,075] Valid metrics: loss: 0.83771 | metrics.Dice: -0.29820

[2019-05-27 10:41:40,075] Epoch 22 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:43:41,951] Train metrics: loss: 0.84357 | metrics.Dice: -0.29858 | grad: 0.57287
[2019-05-27 10:43:41,951] Valid metrics: loss: 0.85904 | metrics.Dice: -0.27947

[2019-05-27 10:43:41,951] Epoch 23 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:45:50,920] Train metrics: loss: 0.83239 | metrics.Dice: -0.30895 | grad: 0.57993
[2019-05-27 10:45:50,920] Valid metrics: loss: 0.81034 | metrics.Dice: -0.32430

[2019-05-27 10:45:50,955] Epoch 24 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:47:56,068] Train metrics: loss: 0.82789 | metrics.Dice: -0.31397 | grad: 0.58482
[2019-05-27 10:47:56,069] Valid metrics: loss: 0.80525 | metrics.Dice: -0.32338

[2019-05-27 10:47:56,069] Epoch 25 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:49:58,256] Train metrics: loss: 0.82779 | metrics.Dice: -0.31251 | grad: 0.60972
[2019-05-27 10:49:58,256] Valid metrics: loss: 0.80363 | metrics.Dice: -0.32416

[2019-05-27 10:49:58,257] Epoch 26 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:52:01,867] Train metrics: loss: 0.82139 | metrics.Dice: -0.31940 | grad: 0.63565
[2019-05-27 10:52:01,867] Valid metrics: loss: 0.79775 | metrics.Dice: -0.32883

[2019-05-27 10:52:01,907] Epoch 27 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:54:09,688] Train metrics: loss: 0.81728 | metrics.Dice: -0.32219 | grad: 0.62123
[2019-05-27 10:54:09,688] Valid metrics: loss: 0.82015 | metrics.Dice: -0.31816

[2019-05-27 10:54:09,688] Epoch 28 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:56:17,424] Train metrics: loss: 0.81288 | metrics.Dice: -0.32654 | grad: 0.61037
[2019-05-27 10:56:17,425] Valid metrics: loss: 0.81620 | metrics.Dice: -0.31545

[2019-05-27 10:56:17,425] Epoch 29 | optimizer "Adam" | lr 0.0003
[2019-05-27 10:58:19,107] Train metrics: loss: 0.81124 | metrics.Dice: -0.32927 | grad: 0.62157
[2019-05-27 10:58:19,107] Valid metrics: loss: 0.81823 | metrics.Dice: -0.31155

[2019-05-27 10:58:19,107] Epoch 30 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:00:20,305] Train metrics: loss: 0.81417 | metrics.Dice: -0.32542 | grad: 0.66762
[2019-05-27 11:00:20,305] Valid metrics: loss: 0.81933 | metrics.Dice: -0.31673

[2019-05-27 11:00:20,305] Epoch 31 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:02:21,155] Train metrics: loss: 0.79765 | metrics.Dice: -0.34040 | grad: 0.61282
[2019-05-27 11:02:21,155] Valid metrics: loss: 0.86194 | metrics.Dice: -0.28468

[2019-05-27 11:02:21,155] Epoch 32 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:04:28,864] Train metrics: loss: 0.80136 | metrics.Dice: -0.33746 | grad: 0.67817
[2019-05-27 11:04:28,864] Valid metrics: loss: 0.81187 | metrics.Dice: -0.31936

[2019-05-27 11:04:28,865] Epoch 33 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:06:35,955] Train metrics: loss: 0.79586 | metrics.Dice: -0.34143 | grad: 0.66193
[2019-05-27 11:06:35,955] Valid metrics: loss: 0.78857 | metrics.Dice: -0.33809

[2019-05-27 11:06:35,988] Epoch 34 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:08:37,429] Train metrics: loss: 0.79966 | metrics.Dice: -0.33887 | grad: 0.63404
[2019-05-27 11:08:37,429] Valid metrics: loss: 0.78675 | metrics.Dice: -0.34649

[2019-05-27 11:08:37,467] Epoch 35 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:10:38,633] Train metrics: loss: 0.77771 | metrics.Dice: -0.35709 | grad: 0.65077
[2019-05-27 11:10:38,633] Valid metrics: loss: 0.81398 | metrics.Dice: -0.32483

[2019-05-27 11:10:38,633] Epoch 36 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:12:39,510] Train metrics: loss: 0.78338 | metrics.Dice: -0.35226 | grad: 0.66622
[2019-05-27 11:12:39,510] Valid metrics: loss: 0.78453 | metrics.Dice: -0.34869

[2019-05-27 11:12:39,545] Epoch 37 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:14:48,361] Train metrics: loss: 0.78136 | metrics.Dice: -0.35473 | grad: 0.66407
[2019-05-27 11:14:48,361] Valid metrics: loss: 0.77152 | metrics.Dice: -0.35287

[2019-05-27 11:14:48,414] Epoch 38 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:16:55,859] Train metrics: loss: 0.77941 | metrics.Dice: -0.35444 | grad: 0.71567
[2019-05-27 11:16:55,860] Valid metrics: loss: 0.76409 | metrics.Dice: -0.35987

[2019-05-27 11:16:55,903] Epoch 39 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:18:56,714] Train metrics: loss: 0.77996 | metrics.Dice: -0.35523 | grad: 0.68816
[2019-05-27 11:18:56,714] Valid metrics: loss: 0.75267 | metrics.Dice: -0.36815

[2019-05-27 11:18:56,768] Epoch 40 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:20:58,960] Train metrics: loss: 0.77650 | metrics.Dice: -0.35879 | grad: 0.74580
[2019-05-27 11:20:58,960] Valid metrics: loss: 0.75449 | metrics.Dice: -0.36629

[2019-05-27 11:20:58,960] Epoch 41 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:23:03,783] Train metrics: loss: 0.77721 | metrics.Dice: -0.35926 | grad: 0.73635
[2019-05-27 11:23:03,783] Valid metrics: loss: 0.75903 | metrics.Dice: -0.36426

[2019-05-27 11:23:03,784] Epoch 42 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:25:11,435] Train metrics: loss: 0.76419 | metrics.Dice: -0.36877 | grad: 0.69221
[2019-05-27 11:25:11,435] Valid metrics: loss: 0.73166 | metrics.Dice: -0.38957

[2019-05-27 11:25:11,477] Epoch 43 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:27:18,247] Train metrics: loss: 0.76538 | metrics.Dice: -0.36929 | grad: 0.65922
[2019-05-27 11:27:18,247] Valid metrics: loss: 0.74951 | metrics.Dice: -0.37545

[2019-05-27 11:27:18,248] Epoch 44 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:29:19,605] Train metrics: loss: 0.77028 | metrics.Dice: -0.36438 | grad: 0.77112
[2019-05-27 11:29:19,605] Valid metrics: loss: 0.80230 | metrics.Dice: -0.33401

[2019-05-27 11:29:19,605] Epoch 45 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:31:22,070] Train metrics: loss: 0.74937 | metrics.Dice: -0.38063 | grad: 0.66311
[2019-05-27 11:31:22,071] Valid metrics: loss: 0.74011 | metrics.Dice: -0.38270

[2019-05-27 11:31:22,071] Epoch 46 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:33:25,341] Train metrics: loss: 0.75254 | metrics.Dice: -0.37930 | grad: 0.74581
[2019-05-27 11:33:25,342] Valid metrics: loss: 0.73629 | metrics.Dice: -0.38715

[2019-05-27 11:33:25,342] Epoch 47 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:35:34,072] Train metrics: loss: 0.75210 | metrics.Dice: -0.38098 | grad: 0.70859
[2019-05-27 11:35:34,072] Valid metrics: loss: 0.73341 | metrics.Dice: -0.38898

[2019-05-27 11:35:34,073] Epoch 48 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:37:38,303] Train metrics: loss: 0.73825 | metrics.Dice: -0.39119 | grad: 0.73808
[2019-05-27 11:37:38,304] Valid metrics: loss: 0.70727 | metrics.Dice: -0.41030

[2019-05-27 11:37:38,345] Epoch 49 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:39:39,947] Train metrics: loss: 0.74815 | metrics.Dice: -0.38347 | grad: 0.75415
[2019-05-27 11:39:39,947] Valid metrics: loss: 0.74158 | metrics.Dice: -0.37977

[2019-05-27 11:39:39,947] Epoch 50 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:41:40,375] Train metrics: loss: 0.74297 | metrics.Dice: -0.38697 | grad: 0.74297
[2019-05-27 11:41:40,375] Valid metrics: loss: 0.74082 | metrics.Dice: -0.38561

[2019-05-27 11:41:40,375] Epoch 51 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:43:41,216] Train metrics: loss: 0.74685 | metrics.Dice: -0.38436 | grad: 0.77300
[2019-05-27 11:43:41,217] Valid metrics: loss: 0.74975 | metrics.Dice: -0.38259

[2019-05-27 11:43:41,217] Epoch 52 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:45:47,922] Train metrics: loss: 0.74050 | metrics.Dice: -0.38974 | grad: 0.77815
[2019-05-27 11:45:47,923] Valid metrics: loss: 0.73115 | metrics.Dice: -0.38956

[2019-05-27 11:45:47,923] Epoch 53 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:47:54,721] Train metrics: loss: 0.73718 | metrics.Dice: -0.39219 | grad: 0.76332
[2019-05-27 11:47:54,721] Valid metrics: loss: 0.71280 | metrics.Dice: -0.40699

[2019-05-27 11:47:54,721] Epoch 54 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:49:56,952] Train metrics: loss: 0.74172 | metrics.Dice: -0.38953 | grad: 0.77835
[2019-05-27 11:49:56,952] Valid metrics: loss: 0.71551 | metrics.Dice: -0.40488

[2019-05-27 11:49:56,953] Epoch 55 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:51:58,128] Train metrics: loss: 0.73047 | metrics.Dice: -0.39882 | grad: 0.76232
[2019-05-27 11:51:58,128] Valid metrics: loss: 0.73387 | metrics.Dice: -0.39116

[2019-05-27 11:51:58,128] Epoch 56 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:53:59,868] Train metrics: loss: 0.72557 | metrics.Dice: -0.40274 | grad: 0.75112
[2019-05-27 11:53:59,869] Valid metrics: loss: 0.69228 | metrics.Dice: -0.42029

[2019-05-27 11:53:59,903] Epoch 57 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:56:11,253] Train metrics: loss: 0.73164 | metrics.Dice: -0.39824 | grad: 0.75002
[2019-05-27 11:56:11,253] Valid metrics: loss: 0.72577 | metrics.Dice: -0.39756

[2019-05-27 11:56:11,253] Epoch 58 | optimizer "Adam" | lr 0.0003
[2019-05-27 11:58:12,873] Train metrics: loss: 0.72298 | metrics.Dice: -0.40449 | grad: 0.74824
[2019-05-27 11:58:12,873] Valid metrics: loss: 0.75467 | metrics.Dice: -0.37860

[2019-05-27 11:58:12,873] Epoch 59 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:00:14,826] Train metrics: loss: 0.72046 | metrics.Dice: -0.40608 | grad: 0.81782
[2019-05-27 12:00:14,826] Valid metrics: loss: 0.74816 | metrics.Dice: -0.38274

[2019-05-27 12:00:14,826] Epoch 60 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:02:17,290] Train metrics: loss: 0.72852 | metrics.Dice: -0.40177 | grad: 0.85146
[2019-05-27 12:02:17,290] Valid metrics: loss: 0.73841 | metrics.Dice: -0.39040

[2019-05-27 12:02:17,290] Epoch 61 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:04:22,730] Train metrics: loss: 0.71679 | metrics.Dice: -0.40972 | grad: 0.75208
[2019-05-27 12:04:22,730] Valid metrics: loss: 0.71251 | metrics.Dice: -0.40772

[2019-05-27 12:04:22,730] Epoch 62 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:06:32,668] Train metrics: loss: 0.71659 | metrics.Dice: -0.40987 | grad: 0.78278
[2019-05-27 12:06:32,668] Valid metrics: loss: 0.70700 | metrics.Dice: -0.41366

[2019-05-27 12:06:32,668] Epoch 63 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:08:35,959] Train metrics: loss: 0.71186 | metrics.Dice: -0.41473 | grad: 0.81335
[2019-05-27 12:08:35,960] Valid metrics: loss: 0.70505 | metrics.Dice: -0.41521

[2019-05-27 12:08:35,960] Epoch 64 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:10:35,767] Train metrics: loss: 0.71180 | metrics.Dice: -0.41536 | grad: 0.85679
[2019-05-27 12:10:35,767] Valid metrics: loss: 0.71119 | metrics.Dice: -0.40455

[2019-05-27 12:10:35,767] Epoch 65 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:12:35,845] Train metrics: loss: 0.70225 | metrics.Dice: -0.42257 | grad: 0.82211
[2019-05-27 12:12:35,845] Valid metrics: loss: 0.72113 | metrics.Dice: -0.40121

[2019-05-27 12:12:35,845] Epoch 66 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:14:42,794] Train metrics: loss: 0.69908 | metrics.Dice: -0.42474 | grad: 0.84511
[2019-05-27 12:14:42,794] Valid metrics: loss: 0.69114 | metrics.Dice: -0.42734

[2019-05-27 12:14:42,830] Epoch 67 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:16:50,270] Train metrics: loss: 0.70729 | metrics.Dice: -0.41953 | grad: 0.84592
[2019-05-27 12:16:50,271] Valid metrics: loss: 0.72657 | metrics.Dice: -0.40251

[2019-05-27 12:16:50,271] Epoch 68 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:18:52,165] Train metrics: loss: 0.69947 | metrics.Dice: -0.42543 | grad: 0.86611
[2019-05-27 12:18:52,165] Valid metrics: loss: 0.74999 | metrics.Dice: -0.37795

[2019-05-27 12:18:52,165] Epoch 69 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:20:54,178] Train metrics: loss: 0.69463 | metrics.Dice: -0.42919 | grad: 0.83380
[2019-05-27 12:20:54,178] Valid metrics: loss: 0.69117 | metrics.Dice: -0.42737

[2019-05-27 12:20:54,211] Epoch 70 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:22:58,061] Train metrics: loss: 0.70656 | metrics.Dice: -0.41946 | grad: 0.88551
[2019-05-27 12:22:58,062] Valid metrics: loss: 0.69190 | metrics.Dice: -0.41976

[2019-05-27 12:22:58,062] Epoch 71 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:25:05,122] Train metrics: loss: 0.68952 | metrics.Dice: -0.43272 | grad: 0.83750
[2019-05-27 12:25:05,122] Valid metrics: loss: 0.70148 | metrics.Dice: -0.41823

[2019-05-27 12:25:05,122] Epoch 72 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:27:08,682] Train metrics: loss: 0.69577 | metrics.Dice: -0.42823 | grad: 0.87393
[2019-05-27 12:27:08,682] Valid metrics: loss: 0.72821 | metrics.Dice: -0.40072

[2019-05-27 12:27:08,682] Epoch 73 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:29:09,919] Train metrics: loss: 0.67809 | metrics.Dice: -0.44298 | grad: 0.83730
[2019-05-27 12:29:09,920] Valid metrics: loss: 0.70033 | metrics.Dice: -0.42156

[2019-05-27 12:29:09,920] Epoch 74 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:31:12,551] Train metrics: loss: 0.68339 | metrics.Dice: -0.43916 | grad: 0.88002
[2019-05-27 12:31:12,552] Valid metrics: loss: 0.71357 | metrics.Dice: -0.40383

[2019-05-27 12:31:12,552] Epoch 75 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:33:17,319] Train metrics: loss: 0.68413 | metrics.Dice: -0.43967 | grad: 0.88040
[2019-05-27 12:33:17,319] Valid metrics: loss: 0.72229 | metrics.Dice: -0.40224

[2019-05-27 12:33:17,319] Epoch 76 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:35:27,902] Train metrics: loss: 0.67155 | metrics.Dice: -0.44775 | grad: 0.85075
[2019-05-27 12:35:27,902] Valid metrics: loss: 0.71777 | metrics.Dice: -0.41328

[2019-05-27 12:35:27,902] Epoch 77 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:37:33,832] Train metrics: loss: 0.68418 | metrics.Dice: -0.43864 | grad: 0.90406
[2019-05-27 12:37:33,832] Valid metrics: loss: 0.75762 | metrics.Dice: -0.38554

[2019-05-27 12:37:33,832] Epoch 78 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:39:34,613] Train metrics: loss: 0.67574 | metrics.Dice: -0.44535 | grad: 0.89029
[2019-05-27 12:39:34,613] Valid metrics: loss: 0.68494 | metrics.Dice: -0.43267

[2019-05-27 12:39:34,655] Epoch 79 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:41:37,482] Train metrics: loss: 0.68433 | metrics.Dice: -0.43895 | grad: 0.85902
[2019-05-27 12:41:37,482] Valid metrics: loss: 0.69509 | metrics.Dice: -0.42298

[2019-05-27 12:41:37,482] Epoch 80 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:43:38,367] Train metrics: loss: 0.66955 | metrics.Dice: -0.45018 | grad: 0.88661
[2019-05-27 12:43:38,367] Valid metrics: loss: 0.66996 | metrics.Dice: -0.44446

[2019-05-27 12:43:38,404] Epoch 81 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:45:39,959] Train metrics: loss: 0.66759 | metrics.Dice: -0.45181 | grad: 0.89509
[2019-05-27 12:45:39,959] Valid metrics: loss: 0.72099 | metrics.Dice: -0.41022

[2019-05-27 12:45:39,959] Epoch 82 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:47:40,646] Train metrics: loss: 0.67189 | metrics.Dice: -0.44904 | grad: 0.91597
[2019-05-27 12:47:40,646] Valid metrics: loss: 0.68572 | metrics.Dice: -0.43663

[2019-05-27 12:47:40,646] Epoch 83 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:49:41,556] Train metrics: loss: 0.66757 | metrics.Dice: -0.45317 | grad: 0.93324
[2019-05-27 12:49:41,557] Valid metrics: loss: 0.71341 | metrics.Dice: -0.41336

[2019-05-27 12:49:41,557] Epoch 84 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:51:43,573] Train metrics: loss: 0.67404 | metrics.Dice: -0.44704 | grad: 0.93582
[2019-05-27 12:51:43,574] Valid metrics: loss: 0.69475 | metrics.Dice: -0.42611

[2019-05-27 12:51:43,574] Epoch 85 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:53:48,490] Train metrics: loss: 0.66809 | metrics.Dice: -0.45338 | grad: 0.90968
[2019-05-27 12:53:48,490] Valid metrics: loss: 0.70143 | metrics.Dice: -0.42472

[2019-05-27 12:53:48,490] Epoch 86 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:55:49,219] Train metrics: loss: 0.66888 | metrics.Dice: -0.45201 | grad: 0.95979
[2019-05-27 12:55:49,219] Valid metrics: loss: 0.71506 | metrics.Dice: -0.41112

[2019-05-27 12:55:49,219] Epoch 87 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:57:49,494] Train metrics: loss: 0.67292 | metrics.Dice: -0.44818 | grad: 0.92606
[2019-05-27 12:57:49,495] Valid metrics: loss: 0.69988 | metrics.Dice: -0.42920

[2019-05-27 12:57:49,495] Epoch 88 | optimizer "Adam" | lr 0.0003
[2019-05-27 12:59:50,772] Train metrics: loss: 0.65814 | metrics.Dice: -0.46018 | grad: 0.88741
[2019-05-27 12:59:50,772] Valid metrics: loss: 0.68495 | metrics.Dice: -0.43758

[2019-05-27 12:59:50,772] Epoch 89 | optimizer "Adam" | lr 0.0003
[2019-05-27 13:01:52,336] Train metrics: loss: 0.65705 | metrics.Dice: -0.46068 | grad: 0.90074
[2019-05-27 13:01:52,336] Valid metrics: loss: 0.67307 | metrics.Dice: -0.44891

[2019-05-27 13:01:52,374] Epoch 90 | optimizer "Adam" | lr 0.0003
[2019-05-27 13:03:54,225] Train metrics: loss: 0.65329 | metrics.Dice: -0.46502 | grad: 0.92881
[2019-05-27 13:03:54,226] Valid metrics: loss: 0.70623 | metrics.Dice: -0.42199

[2019-05-27 13:03:54,226] Epoch 91 | optimizer "Adam" | lr 0.0003
[2019-05-27 13:05:55,049] Train metrics: loss: 0.66101 | metrics.Dice: -0.45926 | grad: 0.93894
[2019-05-27 13:05:55,049] Valid metrics: loss: 0.68405 | metrics.Dice: -0.43955

[2019-05-27 13:05:55,049] Epoch 92 | optimizer "Adam" | lr 0.0003
[2019-05-27 13:07:54,202] Train metrics: loss: 0.65795 | metrics.Dice: -0.46072 | grad: 0.95392
[2019-05-27 13:07:54,203] Valid metrics: loss: 0.70479 | metrics.Dice: -0.42443

